Value,Synonyms
KingIslandCapeWickhamBrie,"king island cape wickham brie, king island cape wickham bries"
KingRiverGold,"king river gold, king river golds"
Klosterkaese,"klosterkaese, klosterkaeses"
Kugelkase,"kugelkase, kugelkases"
LAveyronnais,l'aveyronnais
LEcirDeLAubrac,"l'ecir de l'aubrac, l'ecir de l'aubracs"
LaTaupiniere,"la taupiniere, la taupinieres"
LaVacheQuiRit,"la vache qui rit, la vache qui rits"
Laguiole,"laguiole, laguioles"
Lairobell,"lairobell, lairobells"
Lajta,lajta
Lancashire,"lancashire, lancashires"
Langres,langres
Lappi,"lappi, lappis"
Laruns,laruns
Lavistown,"lavistown, lavistowns"
LeBrin,"le brin, le brins"
LeFiumOrbo,"le fium orbo, le fium orbos"
LeLacandou,"le lacandou, le lacandous"
LeRoule,"le roule, le roules"
Leafield,"leafield, leafields"
Lebbene,"lebbene, lebbenes"
Leerdammer,"leerdammer, leerdammers"
LeicesterCheese,"leicester cheese, leicester cheeses"
Leyden,"leyden, leydens"
Limburger,"limburger, limburgers"
LincolnshirePoacher,"lincolnshire poacher, lincolnshire poachers"
LingotSaintBousquetDOrb,"lingot saint bousquet d'orb, lingot saint bousquet d'orbs"
LittleRydings,little rydings
Livarot,"livarot, livarots"
Llanboidy,"llanboidies, llanboidy"
LlanglofanFarmhouse,"llanglofan farmhouse, llanglofan farmhouses"
LochArthurFarmhouse,"loch arthur farmhouse, loch arthur farmhouses"
LoddiswellAvondale,"loddiswell avondale, loddiswell avondales"
LonghornCheese,"longhorn cheese, longhorn cheeses"
LouPalou,"lou palou, lou palous"
Lyonnais,lyonnais
Maasdam,"maasdam, maasdams"
Macconais,macconais
MahoeAgedGouda,"mahoe aged gouda, mahoe aged goudas"
Mahon,"mahon, mahons"
Malvern,"malvern, malverns"
Mamirolle,"mamirolle, mamirolles"
Manchego,"manchego, manchegos"
Manur,"manur, manurs"
MarbleCheddar,"marble cheddar, marble cheddars"
Maredsous,maredsous
Margotin,"margotin, margotins"
Maribo,"maribo, maribos"
Maroilles,maroilles
Mascarpone,"mascarpone, mascarpones"
MascarponeTorta,mascarpone torta
Matocq,"matocq, matocqs"
Meira,"meira, meiras"
MenallackFarmhouse,"menallack farmhouse, menallack farmhouses"
Menonita,menonita
Metton,"metton, mettons"
MeyerVintageGouda,"meyer vintage gouda, meyer vintage goudas"
MihalicPeynir,"mihalic peynir, mihalic peynirs"
Milleens,milleens
Mimolette,"mimolette, mimolettes"
MineGabhar,"mine-gabhar, mine-gabhars"
Mixte,"mixte, mixtes"
Molbo,"molbo, molbos"
MonasteryCheeses,monastery cheeses
Mondseer,"mondseer, mondseers"
Montasio,"montasio, montasios"
MontereyJack,"monterey jack, monterey jacks"
Morbier,"morbier, morbiers"
MorbierCruDeMontagne,"morbier cru de montagne, morbier cru de montagnes"
MothaisALaFeuille,"mothais a la feuille, mothais a la feuilles"
Mozzarella,"mozzarella, mozzarellas"
Munster,"munster, munsters"
Murol,"murol, murols"
Mycella,"mycella, mycellas"
Myzithra,"myzithra, myzithras"
Nantais,nantais
Neufchatel,"neufchatel, neufchatels"
Niolo,"niolo, niolos"
Nokkelost,"nokkelost, nokkelosts"
Northumberland,"northumberland, northumberlands"
Oaxaca,"oaxaca, oaxacas"
OlivetAuFoin,"olivet au foin, olivet au foins"
OlivetCendre,"olivet cendre, olivet cendres"
Orla,"orla, orlas"
Oschtjepka,"oschtjepka, oschtjepkas"
OssauFermier,"ossau fermier, ossau fermiers"
OssauIraty,"ossau-iraties, ossau-iraty"
Oszczypek,"oszczypek, oszczypeks"
PTitBerrichon,"p'tit berrichon, p'tit berrichons"
PaletDeBabligny,"palet de bablignies, palet de babligny"
Paneer,"paneer, paneers"
Panela,"panela, panelas"
Pannerone,"pannerone, pannerones"
Pantysgawn,"pantysgawn, pantysgawns"
Parmesan,"parmesan, parmesans"
ParmigianoReggiano,"parmigiano reggiano, parmigiano reggianos"
Passendale,"passendale, passendales"
PasteurizedProcessed,"pasteurized processed, pasteurized processeds"
PateDeFromage,"pate de fromage, pate de fromages"
PatefineFort,"patefine fort, patefine forts"
PaveDAffinois,pave d'affinois
PaveDAuge,"pave d'auge, pave d'auges"
PaveDeChirac,"pave de chirac, pave de chiracs"
Pecorino,"pecorino, pecorinos"
PecorinoRomano,"pecorino romano, pecorino romanos"
PeekskillPyramid,"peekskill pyramid, peekskill pyramids"
PelardonDesCevennes,pelardon des cevennes
PelardonDesCorbieres,pelardon des corbieres
Penamellera,"penamellera, penamelleras"
Penbryn,"penbryn, penbryns"
Pencarreg,"pencarreg, pencarregs"
PepperJack,"pepper jack, pepper jacks"
PetitPardou,"petit pardou, petit pardous"
PetitSuisse,"petit-suisse, petit-suisses"
PicodonDeChevre,"picodon de chevre, picodon de chevres"
PicosDeEuropa,"picos de europa, picos de europas"
Pinconning,"pinconning, pinconnings"
Piora,"piora, pioras"
PithtviersAuFoin,"pithtviers au foin, pithtviers au foins"
PlateauDeHerve,"plateau de herve, plateau de herves"
PlymouthCheese,"plymouth cheese, plymouth cheeses"
Podhalanski,"podhalanski, podhalanskis"
PoivreDAne,"poivre d'ane, poivre d'anes"
Polkolbin,"polkolbin, polkolbins"
PontLEveque,"pont l'eveque, pont l'eveques"
PortNicholson,"port nicholson, port nicholsons"
PortSalut,"port-salut, port-saluts"
PoulignySaintPierre,"pouligny-saint-pierre, pouligny-saint-pierres"
Pourly,"pourlies, pourly"
Prastost,"prastost, prastosts"
Pressato,"pressato, pressatos"
PrinceJean,"prince-jean, prince-jeans"
Provel,"provel, provels"
Provolone,"provolone, provolones"
PyenganaCheddar,"pyengana cheddar, pyengana cheddars"
PyramideCheese,"pyramide cheese, pyramide cheeses"
QuarkCheese,"quark cheese, quark cheeses"
QuartiroloLombardo,"quartirolo lombardo, quartirolo lombardos"
QuatreVents,quatre-vents
QuercyPetit,"quercy petit, quercy petits"
QuesoBlanco,"queso blanco, queso blancos"
QuesoDeMurcia,queso de murcia
QuesoDelMontsec,"queso del montsec, queso del montsecs"
QuesoDelTietar,"queso del tietar, queso del tietars"
QuesoFresco,"queso fresco, queso frescos"
QuesoIberico,"queso iberico, queso ibericos"
QuesoJalapeno,"queso jalapeno, queso jalapenos"
QuesoMajorero,"queso majorero, queso majoreros"
QuesoParaFrier,"queso para frier, queso para friers"
QuesoQuesadilla,"queso quesadilla, queso quesadillas"
Rabacal,"rabacal, rabacals"
Raclette,"raclette, raclettes"
Ragusano,"ragusano, ragusanos"
Raschera,"raschera, rascheras"
Reblochon,"reblochon, reblochons"
RegalDeLaDombes,regal de la dombes
Reggianito,"reggianito, reggianitos"
Remedou,"remedou, remedous"
Requeson,"requeson, requesons"
Richelieu,"richelieu, richelieus"
Ricotta,ricotta
