Value,Synonyms
Teddy,"teddies, teddy"
TennisShoe,"tennis shoe, tennis shoes"
Threads,threads
Tiara,"tiara, tiaras"
Tie,"tie, ties"
TieClip,"tie clip, tie clips"
Tights,tights
Toga,"toga, togas"
Togs,togs
Top,"top, tops"
TopCoat,"top coat, top coats"
TopHat,"top hat, top hats"
TrenchCoat,"trench coat, trench coats"
Trousers,trousers
Trunks,trunks
TubeTop,"tube top, tube tops"
Tunic,"tunic, tunics"
Turban,"turban, turbans"
Turtleneck,"turtleneck, turtlenecks"
TurtleneckShirt,"turtleneck shirt, turtleneck shirts"
Tutu,"tutu, tutus"
Tux,"tux, tuxes"
Tuxedo,"tuxedo, tuxedos"
TweedJacket,"tweed jacket, tweed jackets"
Twill,"twill, twills"
Umbrella,"umbrella, umbrellas"
Underclothes,"underclothes, underclotheses"
Undershirt,"undershirt, undershirts"
Underwear,"underwear, underwears"
Uniform,"uniform, uniforms"
Veil,"veil, veils"
Velcro,velcro
Vest,"vest, vests"
Vestment,"vestment, vestments"
Visor,"visor, visors"
Waistcoat,"waistcoat, waistcoats"
WeddingGown,"wedding gown, wedding gowns"
Wetsuit,"wetsuit, wetsuits"
WhiteTie,"white tie, white ties"
Wig,"wig, wigs"
Windbreaker,"windbreaker, windbreakers"
Woollens,woollens
Wrap,"wrap, wraps"
