Value,Synonyms
LakeRudolf,lake rudolf
LakeRweru,lake rweru
LakeSaimaa,lake saimaa
LakeShkodra,lake shkodra
LakeStClair,lake st. clair
LakeSuperior,lake superior
LakeTahoe,lake tahoe
LakeTanganyika,lake tanganyika
LakeTexoma,lake texoma
LakeTiberias,lake tiberias
LakeTiticaca,lake titicaca
LakeTurkana,lake turkana
LakeTuz,lake tuz
LakeVan,lake van
LakeVanern,lake vanern
LakeVattern,lake vattern
LakeVegoritis,lake vegoritis
LakeVictoria,lake victoria
LakeVolta,lake volta
LakeVolvi,lake volvi
LakeVortsJarv,lake vorts-jarv
LakeVygozero,lake vygozero
LakeWinnipeg,lake winnipeg
LakeWinnipesaukee,lake winnipesaukee
LakeZurich,lake zurich
LakeZurichee,lake zurichee
LakonikosGulf,lakonikos gulf
MackenzieRiver,mackenzie river
MadriuRiver,madriu river
MagdalenaRiver,magdalena river
MaltaChannel,malta channel
ManaRiver,mana river
MangachevirReservoir,mangachevir reservoir
MaranoRiver,marano river
MariagerFjord,mariager fjord
MaritsaRiver,maritsa river
MaroniRiver,maroni river
MarowijneRiver,marowijne river
MatochkinStrait,matochkin strait
MbuluziRiver,mbuluzi river
MecklenburgerBay,mecklenburger bay
MediterraneanSea,mediterranean sea
MedjerdaRiver,medjerda river
MekongRiver,mekong river
MenaiStrait,menai strait
MerrimackRiver,merrimack river
MessinaStrait,messina strait
MessiniaGulf,messinia gulf
MeuseRiver,meuse river
MezenBay,mezen bay
MezenRiver,mezen river
MiamiRiver,miami river
MiloRiver,milo river
MinnesotaRiver,minnesota river
MinoRiver,mino river
MississippiRiver,mississippi river
MissouriRiver,missouri river
MoaRiver,moa river
MobileBay,mobile bay
MohawkRiver,mohawk river
MoluccaSea,molucca sea
MonoRiver,mono river
MonongahelaRiver,monongahela river
MoravaRiver,morava river
MorecambeBay,morecambe bay
MoselleRiver,moselle river
MozambiqueChannel,mozambique channel
MuonioRiver,muonio river
MurrayRiver,murray river
MuskinghamRiver,muskingham river
NapoRiver,napo river
NarragansettBay,narragansett bay
NechesRiver,neches river
NederRiver,neder river
NeisseRiver,neisse river
NemanRiver,neman river
NerisRiver,neris river
NgounieRiver,ngounie river
NgwavumaRiver,ngwavuma river
NiarbylBay,niarbyl bay
NigerRiver,niger river
Nile,nile
NileRiver,nile river
NiobraraRiver,niobrara river
NistruRiver,nistru river
NorthChannel,north channel
NorthSea,north sea
NorthSeaCanal,north sea canal
NorwegianSea,norwegian sea
NotecRiver,notec river
NuecesRiver,nueces river
ObRiver,ob' river
OcmulgeeRiver,ocmulgee river
OderRiver,oder river
OgooueRiver,ogooue river
OhioRiver,ohio river
OlenekskiyBay,olenekskiy bay
OltRiver,olt river
OnegaBay,onega bay
OnegaRiver,onega river
OrangeRiver,orange river
OrangeRiverLesotho,orange river lesotho
OrangeRiverNamibia,orange river namibia
OresundSound,oresund sound
OrinocoRiver,orinoco river
OtiRiver,oti river
OuemeRiver,oueme river
OuluRiver,oulu river
OunasRiver,ounas river
OuseRiver,ouse river
OyapuckRiver,oyapuck river
PacificOcean,pacific ocean
PagasitikosGulf,pagasitikos gulf
PalkBay,palk bay
PanamaCanal,panama canal
ParaguayRiver,paraguay river
ParanaRiver,parana river
ParnuRiver,parnu river
PatraGulf,patra gulf
PatuxentRiver,patuxent river
PawcatuckRiver,pawcatuck river
PeaceRiver,peace river
PearlRiver,pearl river
PecosRiver,pecos river
PeeDeeRiver,pee dee river
PenobscotRiver,penobscot river
PenzhinBay,penzhin bay
PersianGulf,persian gulf
PhilippineSea,philippine sea
PiniosRiver,pinios river
PivdennyyBug,pivdennyy bug
PlatteRiver,platte river
PoRiver,po river
PotomacRiver,potomac river
PribyatRiver,pribyat river
PrutRiver,prut river
PyramidLake,pyramid lake
RamseyBay,ramsey bay
RandersFjord,randers fjord
RautRiver,raut river
RazdanRiver,razdan river
RedRiver,red river
RedSea,red sea
RepublicanRiver,republican river
RhineRiver,rhine river
RhoneRiver,rhone river
RingkobingFjord,ringkobing fjord
RioCachew,rio cachew
RioDeLaPlata,rio de la plata
RioGeba,rio geba
RioGrandeRiver,rio grande river
RioNegro,rio negro
RioUruguay,rio uruguay
RioniRiver,rioni river
RoanokeRiver,roanoke river
RokelRiver,rokel river
RossSea,ross sea
RufijiRiver,rufiji river
RupertBay,rupert bay
RusiziRiver,rusizi river
SaaleRiver,saale river
SabibeLake,sabibe lake
SabineRiver,sabine river
SacramentoRiver,sacramento river
SaimaaCanal,saimaa canal
SaintLawrenceRiver,saint lawrence river
SaintLawrenceSeaway,saint lawrence seaway
SakhalinGulf,sakhalin gulf
SalineRiver,saline river
SaltLake,salt lake
SalwayFirth,salway firth
SambreRiver,sambre river
SamsoBelt,samso belt
SanAntonioRiver,san antonio river
SanJoaquinRiver,san joaquin river
SanMarinoRiver,san marino river
SanagaRiver,sanaga river
SanghaRiver,sangha river
SannikovStrait,sannikov strait
SaoneRiver,saone river
SaronicGulf,saronic gulf
SassandraRiver,sassandra river
SavaRiver,sava river
SavannahRiver,savannah river
SavuSea,savu sea
ScheldeRiver,schelde river
